Registration Number,First Name,Middle Name,Last Name,Gender,Date of Birth,Nationality,Country of Residence,Phone Number,Email Address,Home Address,City,State,Zip Code,University,Current GPA / CGPA,Previous GPA (historic tracking),Credits Completed,Credits Remaining,Courses Enrolled Per Semester,Course Codes,Course Units,Technical Skills,Soft Skills,Research Interests,Professional Interests,Hobbies,Preferred Learning Style,Study Partners Preferences,Preferred Study Hours,CS and Data Science Interests
202291369,James,Sarah,Scott,Male,2003-07-04,United States,United States,(359) 420-6514,james.scott14@gmail.com,2386 Oak Drive,Miami,IL,14165,Duke University,2.35,2.47,21,106,4,"ML502, CYBER301, EE301, DS401",14,"Git, Java, R","Time Management, Communication, Teamwork, Critical Thinking, Leadership","Artificial Intelligence, Data Science, None, Cybersecurity","ML Engineer, Data Scientist, AI Researcher","Reading, Hiking",Auditory,One-on-one,Morning,"None, AI"
202221231,Aurora,Sofia,Brooks,Female,2002-10-29,United States,United States,(780) 935-6155,aurora.brooks28@gmail.com,"6165 Maple Avenue, Apt 172",Los Angeles,TX,80010,Cornell University,3.54,2.92,84,46,4,"DATA201, CS201, DS401, PHYS101",15,"Docker, Git, PyTorch, Cybersecurity, C++, SQL, Machine Learning, JavaScript","Critical Thinking, Time Management, Problem-solving, Communication, Leadership","Machine Learning, None","Software Engineer, ML Engineer, Cybersecurity Analyst, AI Researcher","Photography, Hiking, Music",Visual,Online,Late night,"Data Science, NLP, Cybersecurity, AI, Computer Vision"
202252572,Rowan,Willow,Long,Male,2004-10-25,United States,United States,(780) 280-2403,rowan.long94@gmail.com,"1927 Elm Boulevard, Apt 41",New York,MA,75612,Johns Hopkins University,3.6,3.83; 3.74; 2.6; 3.28,65,49,5,"AI501, CS101, CYBER301, PHYS101, CYBER301",17,"Deep Learning, Java, Machine Learning, AWS, C++, PyTorch","Time Management, Leadership, Communication, Problem-solving, Critical Thinking, Teamwork","None, NLP, Machine Learning, Cybersecurity","AI Researcher, Cybersecurity Analyst, ML Engineer, Data Scientist","Gaming, Photography",Visual,One-on-one,Morning,"NLP, Machine Learning, None, Computer Vision, AI"
202103198,Theo,Brooklyn,Davis,Male,2001-10-04,United States,United States,(262) 612-6559,theo.davis14@gmail.com,614 Maple Street,Boston,GA,38080,Duke University,3.22,3.87; 3.14; 2.95; 3.57; 3.61,63,50,3,"DS401, PSY101, CYBER301",11,"JavaScript, Cybersecurity, AWS, Docker","Problem-solving, Leadership, Communication, Time Management",None,Cybersecurity Analyst,"Reading, Photography, Cooking, Hiking, Music, Sports",Auditory,Online,Late night,"Machine Learning, Data Science, AI, None"
202194851,Olivia,Olivia,King,Female,2004-03-14,United States,United States,(270) 809-2113,olivia.king87@gmail.com,"7030 Lake Drive, Apt 184",Chicago,FL,48890,University of California--Los Angeles,2.67,None,30,90,3,"PSY101, DATA201, ECON101",9,"JavaScript, Git, Java, TensorFlow, Cybersecurity, Pandas, Python, Machine Learning, PyTorch","Communication, Leadership, Critical Thinking, Teamwork, Time Management","Machine Learning, NLP, Cybersecurity","AI Researcher, Software Engineer, Cybersecurity Analyst, Data Scientist","Cooking, Reading, Hiking, Gaming, Sports, Music",Auditory,One-on-one,Morning,"Cybersecurity, None"
202578478,Adrian,Stella,Price,Male,2006-12-07,United States,United States,(922) 637-1158,adrian.price15@gmail.com,228 Lake Road,Chicago,MA,25129,Northwestern University,3.81,3.11; 2.54; 3.21; 3.44; 2.41,82,44,6,"PSY101, CS101, EE301, CYBER301, DATA201, ECON101",21,"Cybersecurity, Pandas, C++","Communication, Time Management, Leadership","Machine Learning, Artificial Intelligence, Cybersecurity","Software Engineer, AI Researcher, ML Engineer","Hiking, Reading, Sports",Reading/Writing,Small group,Afternoon,"None, Machine Learning"
202040115,Amelia,Carter,Patel,Female,2005-08-14,United States,United States,(311) 810-8119,amelia.patel45@gmail.com,4165 Elm Avenue,Denver,CA,71694,Columbia University,2.68,3.84; 2.7; 3.64; 3.74; 2.45; 3.32,117,3,5,"CYBER301, DS401, ECON101, ECON101, DS401",17,"Machine Learning, R, Git, TensorFlow, AWS, Java, Cybersecurity, JavaScript","Teamwork, Problem-solving, Critical Thinking, Communication, Time Management","Data Science, Artificial Intelligence","ML Engineer, AI Researcher, Cybersecurity Analyst","Hiking, Sports",Kinesthetic,Online,Evening,"Computer Vision, Cybersecurity, NLP, Machine Learning"
202154511,Miles,Josephine,Carter,Male,2002-12-14,United States,United States,(225) 247-5011,miles.carter61@gmail.com,9424 Elm Boulevard,Boston,MA,37549,University of Illinois Urbana-Champaign,3.03,3.21; 2.64; 2.88; 3.35,145,0,4,"PHYS101, MATH101, MATH101, EE301",13,"Deep Learning, Machine Learning, Java, Docker, Git, TensorFlow, JavaScript","Problem-solving, Critical Thinking, Leadership, Teamwork, Communication, Time Management","Machine Learning, None, Computer Vision","Software Engineer, Data Scientist, ML Engineer, Cybersecurity Analyst","Photography, Music, Cooking",Kinesthetic,Online,Late night,"Data Science, Machine Learning, None, NLP, Computer Vision"
202368845,Micah,Axel,Foster,Male,2006-11-06,United States,United States,(505) 971-7389,micah.foster54@gmail.com,8039 Cedar Road,Boston,FL,45614,University of Wisconsin--Madison,2.87,2.16; 2.3; 2.77; 2.31,69,43,6,"CS101, DS401, AI501, AI501, AI501, CS101",22,"Pandas, Cybersecurity, AWS, TensorFlow, JavaScript, Docker, PyTorch","Problem-solving, Critical Thinking, Teamwork, Leadership, Communication","NLP, Machine Learning, Data Science","ML Engineer, Software Engineer","Cooking, Photography, Reading, Hiking, Sports",Reading/Writing,Small group,Late night,"AI, Cybersecurity"
202250132,Zoe,Christopher,Collins,Female,2004-10-14,United States,United States,(329) 684-2874,zoe.collins73@gmail.com,"6311 Elm Way, Apt 108",Los Angeles,GA,12540,Columbia University,3.57,None,104,13,3,"EE301, MATH101, ECON101",9,"Docker, Pandas, SQL, R","Time Management, Critical Thinking, Teamwork, Problem-solving","Artificial Intelligence, Computer Vision",AI Researcher,"Hiking, Music, Photography, Gaming, Reading, Sports",Visual,One-on-one,Morning,"None, AI, Cybersecurity, Data Science, NLP"
